firm_name,firm_group,reporting_period,period,product_category,complaints_closed
Bank of Scotland plc,LLOYDS BANKING GROUP PLC,2025-07-01 to 2025-12-31,H2 2025,Home finance,11834
Barclays Bank Plc,BARCLAYS GROUP,2025-07-01 to 2025-12-31,H2 2025,Home finance,1
Barclays Bank UK PLC,BARCLAYS GROUP,2025-07-01 to 2025-12-31,H2 2025,Home finance,5721
Cabot Credit Management Group Limited,ENCORE CAPITAL GROUP,2025-07-01 to 2025-12-31,H2 2025,Home finance,44
Charter Court Financial Services Limited,CHARTER COURT FINANCIAL SERVICES GROUP PLC,2025-07-01 to 2025-12-31,H2 2025,Home finance,1191
Clydesdale Bank Plc,NATIONWIDE BUILDING SOCIETY,2025-04-01 to 2025-09-30,H2 2025,Home finance,2186
Cofunds Limited,AEGON N.V.,2025-07-01 to 2025-12-31,H2 2025,Home finance,0
Connells Limited,SKIPTON BUILDING SOCIETY,2025-07-01 to 2025-12-31,H2 2025,Home finance,485
Coutts & Company,NATWEST GROUP,2025-07-01 to 2025-12-31,H2 2025,Home finance,103
Coventry Building Society,COVENTRY BUILDING SOCIETY,2025-07-01 to 2025-12-31,H2 2025,Home finance,764
Cynergy Bank Plc,CYNERGY CAPITAL LTD,2025-07-01 to 2025-12-31,H2 2025,Home finance,6
EBS Pensions Limited,LLOYDS BANKING GROUP PLC,2025-07-01 to 2025-12-31,H2 2025,Home finance,0
Elderbridge Limited,TECH MAHINDRA LIMITED,2025-04-01 to 2025-09-30,H2 2025,Home finance,781
Embark Investment Services Limited,LLOYDS BANKING GROUP PLC,2025-07-01 to 2025-12-31,H2 2025,Home finance,0
Embark Services Limited,LLOYDS BANKING GROUP PLC,2025-07-01 to 2025-12-31,H2 2025,Home finance,0
Experian Limited,EXPERIAN PLC,2025-04-01 to 2025-09-30,H2 2025,Home finance,0
FCE Bank Plc,FORD MOTOR CO,2025-07-01 to 2025-12-31,H2 2025,Home finance,0
Halifax Share Dealing Limited,LLOYDS BANKING GROUP PLC,2025-07-01 to 2025-12-31,H2 2025,Home finance,0
HBOS Investment Fund Managers Limited,LLOYDS BANKING GROUP PLC,2025-07-01 to 2025-12-31,H2 2025,Home finance,0
HSBC UK Bank Plc,HSBC GROUP,2025-07-01 to 2025-12-31,H2 2025,Home finance,5227
Kensington Mortgage Company Limited,NO GROUP,2025-07-01 to 2025-12-31,H2 2025,Home finance,1047
Leeds Building Society,LEEDS BUILDING SOCIETY,2025-07-01 to 2025-12-31,H2 2025,Home finance,930
Link Financial Outsourcing Limited,LINK FINANCIAL GROUP,2025-07-01 to 2025-12-31,H2 2025,Home finance,10
Lloyds Bank General Insurance Limited,LLOYDS BANKING GROUP PLC,2025-07-01 to 2025-12-31,H2 2025,Home finance,0
Lloyds Bank PLC,LLOYDS BANKING GROUP PLC,2025-07-01 to 2025-12-31,H2 2025,Home finance,2509
LONDON & COUNTRY MORTGAGES LIMITED,NO GROUP,2025-07-01 to 2025-12-31,H2 2025,Home finance,605
MARKS AND SPENCER FINANCIAL SERVICES PLC,HSBC GROUP,2025-07-01 to 2025-12-31,H2 2025,Home finance,0
MBNA Limited,LLOYDS BANKING GROUP PLC,2025-07-01 to 2025-12-31,H2 2025,Home finance,0
Metro Bank PLC,NO GROUP,2025-07-01 to 2025-12-31,H2 2025,Home finance,145
NATIONAL WESTMINSTER BANK PUBLIC LIMITED COMPANY,NATWEST GROUP,2025-07-01 to 2025-12-31,H2 2025,Home finance,6063
Nationwide Building Society,NATIONWIDE BUILDING SOCIETY,2025-04-01 to 2025-09-30,H2 2025,Home finance,5410
Newcastle Building Society,NO GROUP,2025-07-01 to 2025-12-31,H2 2025,Home finance,219
Northern Bank Limited,DANSKE BANK A/S,2025-07-01 to 2025-12-31,H2 2025,Home finance,86
OneSavings Bank Plc,OSB GROUP,2025-07-01 to 2025-12-31,H2 2025,Home finance,1084
Paragon Bank Plc,PARAGON BANKING GROUP PLC,2025-04-01 to 2025-09-30,H2 2025,Home finance,249
Pepper (UK) Limited,PEPPER GROUP,2025-07-01 to 2025-12-31,H2 2025,Home finance,718
Phoenix Life Limited,PHOENIX GROUP,2025-07-01 to 2025-12-31,H2 2025,Home finance,7
Principality Building Society,NO GROUP,2025-07-01 to 2025-12-31,H2 2025,Home finance,397
QUILTER FINANCIAL SERVICES LIMITED,QUILTER GROUP,2025-07-01 to 2025-12-31,H2 2025,Home finance,2
Santander UK Plc,SANTANDER UK GROUP,2025-07-01 to 2025-12-31,H2 2025,Home finance,4262
Scottish Equitable Plc,AEGON N.V.,2025-07-01 to 2025-12-31,H2 2025,Home finance,0
SCOTTISH WIDOWS LIMITED,LLOYDS BANKING GROUP PLC,2025-07-01 to 2025-12-31,H2 2025,Home finance,0
SECURE TRUST BANK PUBLIC LIMITED COMPANY,NO GROUP,2025-07-01 to 2025-12-31,H2 2025,Home finance,1
Shawbrook Bank Limited,SHAWBROOK GROUP PLC,2025-07-01 to 2025-12-31,H2 2025,Home finance,400
Skipton Building Society,SKIPTON BUILDING SOCIETY,2025-07-01 to 2025-12-31,H2 2025,Home finance,670
St. James's Place Wealth Management Plc,ST. JAMES'S PLACE PLC,2025-07-01 to 2025-12-31,H2 2025,Home finance,27
Swift 1st Limited,SWIFT GROUP,2025-04-01 to 2025-09-30,H2 2025,Home finance,642
THE CO-OPERATIVE BANK P.L.C.,COVENTRY BUILDING SOCIETY,2025-07-01 to 2025-12-31,H2 2025,Home finance,1128
The Mortgage Works (UK) Plc,NATIONWIDE BUILDING SOCIETY,2025-04-01 to 2025-09-30,H2 2025,Home finance,1522
The Prudential Assurance Company Limited,M&G PLC,2025-07-01 to 2025-12-31,H2 2025,Home finance,40
The Royal Bank of Scotland Plc,NATWEST GROUP,2025-07-01 to 2025-12-31,H2 2025,Home finance,1215
Topaz Finance Limited,COMPUTERSHARE LIMITED,2025-07-01 to 2025-12-31,H2 2025,Home finance,2978
True Potential Wealth Management LLP,NO GROUP,2025-07-01 to 2025-12-31,H2 2025,Home finance,1
TSB Bank plc,BANCO DE SABADELL SA,2025-07-01 to 2025-12-31,H2 2025,Home finance,1524
UBS AG,UBS GROUP,2025-07-01 to 2025-12-31,H2 2025,Home finance,10
UK Mortgage Lending Ltd,PEPPER GROUP,2025-07-01 to 2025-12-31,H2 2025,Home finance,643
Yorkshire Building Society,NO GROUP,2025-07-01 to 2025-12-31,H2 2025,Home finance,540
Zurich Assurance Ltd,ZURICH INSURANCE GROUP LIMITED,2025-07-01 to 2025-12-31,H2 2025,Home finance,3
Accredited Insurance (Europe) Ltd,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,4005
Acm Ulr Limited,MARKERSTUDY GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,837
Acorn Insurance & Financial Services Ltd,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,770
Action 365 Ltd,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,998
Adrian Flux Insurance Services Group,NO GROUP,2024-04-01 to 2024-09-30,H2 2024,Insurance & pure protection,1665
Advisory Insurance Brokers Limited,ARDONAGH GROUP LIMITED,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,778
Affinity Insurance Solutions Limited,MARKERSTUDY GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,807
Ageas Insurance Limited,AGEAS SA-NV,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,5243
Ageas Retail Limited,AGEAS SA-NV,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,995
Aioi Nissay Dowa Insurance UK Limited,AIOI NISSAY DOWA EUROPE LIMITED,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,2628
Allianz Insurance Plc,ALLIANZ SE,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,2929
AMERICAN EXPRESS SERVICES EUROPE LIMITED,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,64
AMERICAN INTERNATIONAL GROUP UK LIMITED,"AMERICAN INTERNATIONAL GROUP, INC. (AIG)",2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,1107
AmTrust Specialty Limited,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,2140
Animal Friends Insurance Services Ltd,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,3041
ARAG Legal Expenses Insurance Company Limited,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,1948
Arthur J. Gallagher Insurance Brokers Limited,ARTHUR J GALLAGHER (UK) LTD,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,1051
Assurant General Insurance Limited,ASSURANT INC,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,7621
Astrenska Insurance Limited,NO GROUP,2024-05-01 to 2024-10-31,H2 2024,Insurance & pure protection,1789
Asurion Europe Limited,ASURION,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,1465
Atlanta Insurance Intermediaries Limited,MARKERSTUDY GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,9764
Automobile Association Insurance Services Limited,AUTOMOBILE ASSOCIATION (AA),2024-02-01 to 2024-07-31,H2 2024,Insurance & pure protection,0
Avantia Insurance Limited,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,1460
Aviva Health UK Limited,AVIVA PLC,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,1386
Aviva Insurance Limited,AVIVA PLC,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,50012
Aviva Life Services UK Limited,AVIVA PLC,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,3917
Aviva Protection UK Limited,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,862
AWP Assistance UK Ltd,ALLIANZ SE,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,2555
AWP P&C S.A.,ALLIANZ SE,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,2049
AXA Insurance Designated Activity Company,AXA GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,2091
AXA Insurance UK Plc,AXA GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,22083
AXA PPP Healthcare Limited,AXA GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,24363
Bank of Ireland (UK) Plc,BANK OF IRELAND GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,46
Bank of Scotland plc,LLOYDS BANKING GROUP PLC,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,296
Barclays Bank Plc,BARCLAYS PLC,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,1
Barclays Bank UK PLC,BARCLAYS PLC,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,198
BISL Limited,MARKERSTUDY GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,13387
British Gas Services Limited,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,56598
BUPA Insurance Services Limited,BUPA GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,31336
Call Assist Ltd,CALL ASSIST LIMITED,2024-05-01 to 2024-10-31,H2 2024,Insurance & pure protection,656
Capital Home Loans Limited,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,0
Capital One (Europe) plc,CAPITAL ONE FINANCIAL CORPORATION,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,6
Car Care Plan Limited,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,1040
Carfinance247 Limited,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,173
Carole Nash Insurance Consultants Ltd,MARKERSTUDY GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,3103
Castelan Limited,NO GROUP,2024-04-01 to 2024-09-30,H2 2024,Insurance & pure protection,551
Chubb European Group SE,CHUBB LIMITED,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,4213
Close Brothers Limited,CLOSE BROTHERS GROUP PLC,2024-02-01 to 2024-07-31,H2 2024,Insurance & pure protection,5
Clydesdale Bank Plc,VIRGIN MONEY UK PLC,2024-04-01 to 2024-09-30,H2 2024,Insurance & pure protection,8
Complete Cover Group Ltd,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,995
Connells Limited,SKIPTON BUILDING SOCIETY,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,112
CORGI HomePlan Ltd,OVO GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,1603
Countrywide Assured Plc,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,172
Coutts & Company,NATWEST GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,14
Covea Insurance plc,COVEA GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,2479
Coventry Building Society,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,1
Creation Financial Services Limited,BNP PARIBAS GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,0
Domestic & General Insurance Plc,CVC CAPITAL PARTNERS ADVISORY GROUP HOLDING FOUNDATION,2024-04-01 to 2024-09-30,H2 2024,Insurance & pure protection,45614
Elderbridge Limited,TECH MAHINDRA LIMITED,2024-04-01 to 2024-09-30,H2 2024,Insurance & pure protection,1
Embark Investment Services Limited,LLOYDS BANKING GROUP PLC,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,0
ERGO TRAVEL INSURANCE SERVICES LTD,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,2863
esure Insurance Limited,ESURE GROUP PLC,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,15914
EUI Limited,ADMIRAL GROUP PLC,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,72246
Exeter Friendly Society Limited,EXETER FRIENDLY SOCIETY LIMITED,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,1162
Experian Limited,EXPERIAN PLC,2024-04-01 to 2024-09-30,H2 2024,Insurance & pure protection,3
Extracover Limited,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,507
Family Assurance Friendly Society Limited,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,397
First Central Insurance Management Limited,FIRST CENTRAL GROUP LIMITED,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,9158
FirstRand Bank Limited,FIRSTRAND LIMITED,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,52
Forester Life Limited,FORESTER HOLDINGS (EUROPE) LIMITED,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,38
Forsakringsaktiebolaget Agria (publ),NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,690
Fortegra Europe Insurance Company Ltd,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,3417
Hastings Insurance Services Limited,HASTINGS GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,14645
HBOS Investment Fund Managers Limited,LLOYDS BANKING GROUP PLC,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,0
HELVETIA GLOBAL SOLUTIONS LTD,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,1286
Highway Insurance Company Limited,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,521
Hiscox Insurance Company Limited,HISCOX LTD.,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,529
Homeserve Membership Limited,HOMESERVE PLC,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,2655
Hood Travel Limited,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,745
Howserv Limited,STAYSURE HOLDINGS LTD,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,2239
HSBC UK Bank Plc,HSBC HOLDINGS PLC,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,493
Hyundai Capital UK Limited,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,0
I Go 4 Ltd.,MARKERSTUDY GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,984
Insurance Factory Ltd,MARKERSTUDY GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,4215
Inter Partner Assistance SA,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,8619
J D Williams & Company Limited,J D WILLIAMS & COMPANY LIMITED,2024-03-01 to 2024-08-31,H2 2024,Insurance & pure protection,1
LeasePlan UK Limited,LP GROUP B.V.,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,21
Leeds Building Society,LEEDS BUILDING SOCIETY,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,4
Legal and General Assurance Society Limited,LEGAL & GENERAL GROUP PLC,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,2923
Liverpool Victoria Financial Services Limited,LIVERPOOL VICTORIA FINANCIAL SERVICES LIMITED,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,1295
Liverpool Victoria Insurance Company Limited,LIVERPOOL VICTORIA FINANCIAL SERVICES LIMITED,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,9436
Lloyds Bank General Insurance Limited,LLOYDS BANKING GROUP PLC,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,5663
Lloyds Bank PLC,LLOYDS BANKING GROUP PLC,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,381
London and Country Mortgages Ltd,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,36
ManyPets Ltd,NO GROUP,2024-04-01 to 2024-09-30,H2 2024,Insurance & pure protection,5843
Marks & Spencer Financial Services Plc,HSBC HOLDINGS PLC,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,174
Marshmallow Financial Services Ltd,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,4866
MBNA Limited,LLOYDS BANKING GROUP PLC,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,10
MetLife Europe d.a.c.,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,728
MotoNovo Finance Limited,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,27
MUNICH RE DIGITAL PARTNERS LIMITED,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,1210
National House-Building Council,NO GROUP,2024-04-01 to 2024-09-30,H2 2024,Insurance & pure protection,569
NATIONAL WESTMINSTER BANK PUBLIC LIMITED COMPANY,NATWEST GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,121
Nationwide Building Society,NATIONWIDE BUILDING SOCIETY,2024-04-05 to 2024-10-04,H2 2024,Insurance & pure protection,144
Newcastle Building Society,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,0
Northern Bank Limited,DANSKE BANK A/S,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,1
One Call Insurance Services Limited,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,3061
Paragon Bank Plc,PARAGON BANKING GROUP PLC,2024-04-01 to 2024-09-30,H2 2024,Insurance & pure protection,3
Phoenix Life CA Limited,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,319
Phoenix Life Limited,PHOENIX GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,2862
Pinnacle Insurance Limited,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,2388
Post Office Management Services Limited,NO GROUP,2024-04-01 to 2024-09-30,H2 2024,Insurance & pure protection,479
Principality Building Society,PRINCIPALITY BUILDING SOCIETY,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,5
QBE UK Limited,QBE INSURANCE GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,884
Qmetric Group Limited,NO GROUP,2024-04-01 to 2024-09-30,H2 2024,Insurance & pure protection,3028
QUILTER FINANCIAL SERVICES LIMITED,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,12
RAC Motoring Services,RAC GROUP (HOLDINGS) LIMITED,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,9712
ReAssure Life Limited,PHOENIX GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,392
ReAssure Limited,PHOENIX GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,584
Reassured Ltd,NO GROUP,2024-02-01 to 2024-07-31,H2 2024,Insurance & pure protection,576
Royal & Sun Alliance Insurance Limited,RSA INSURANCE UK,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,12505
Sabre Insurance Company Limited,SABRE INSURANCE GROUP PLC,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,686
Saga Services Limited,SAGA PLC,2024-02-01 to 2024-07-31,H2 2024,Insurance & pure protection,15404
Sainsbury's Bank Plc,J SAINSBURY PLC,2024-03-01 to 2024-08-31,H2 2024,Insurance & pure protection,620
Santander UK Plc,SANTANDER UK GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,131
Scottish Equitable Plc,AEGON N.V.,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,8
Scottish Friendly Assurance Society Limited,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,357
SCOTTISH WIDOWS LIMITED,LLOYDS BANKING GROUP PLC,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,1426
Scottish Widows Unit Trust Managers Limited,LLOYDS BANKING GROUP PLC,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,0
Shop Direct Finance Company Limited,THE VERY GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,377
Simplyhealth Access,SIMPLYHEALTH GROUP LIMITED,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,1999
Skipton Building Society,SKIPTON BUILDING SOCIETY,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,11
Society of Lloyd's,SOCIETY OF LLOYD'S,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,5056
Somerset Bridge Insurance Services Limited,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,773
St James's Place UK plc,ST. JAMES'S PLACE PLC,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,8
St. James's Place Wealth Management Plc,ST. JAMES'S PLACE PLC,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,82
Starr International (Europe) Limited,"STARR INTERNATIONAL COMPANY, INC.",2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,1682
Telefonica Seguros y Reaseguros Compania Aseguradora S.A.U.,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,3772
Telefonica UK Limited,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,152
Tesco Personal Finance Limited,NO GROUP,2024-03-01 to 2024-08-31,H2 2024,Insurance & pure protection,4279
Tesco Underwriting Limited,TESCO BANK (TESCO PLC),2024-03-01 to 2024-08-31,H2 2024,Insurance & pure protection,2777
The Co-operative Bank Plc,CO-OPERATIVE BANK HOLDINGS (THE),2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,3
The National Farmers' Union Mutual Insurance Society Limited,NFU MUTUAL INSURANCE SOCIETY LIMITED,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,5941
The Prudential Assurance Company Limited,M&G PLC,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,663
The Royal Bank of Scotland Plc,NATWEST GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,35
The Royal London Mutual Insurance Society Limited,ROYAL LONDON GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,1806
Tradex Insurance Company PLC,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,2561
TSB Bank plc,BANCO DE SABADELL SA,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,24
U K Insurance Limited,DIRECT LINE INSURANCE GROUP PLC,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,52048
USAY BUSINESS LTD,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,623
Utility Warehouse Limited,NO GROUP,2024-04-01 to 2024-09-30,H2 2024,Insurance & pure protection,2326
Virgin Money Unit Trust Managers Ltd,NO GROUP,2024-04-01 to 2024-09-30,H2 2024,Insurance & pure protection,0
Vitality Corporate Services Limited,DISCOVERY LIMITED,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,9075
Vodafone Limited,NO GROUP,2024-04-01 to 2024-09-30,H2 2024,Insurance & pure protection,294
Volkswagen Financial Services (UK) Limited,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,43
Wesleyan Assurance Society,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,133
Xbridge Limited,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,1128
Yorkshire Building Society,YORKSHIRE BUILDING SOCIETY,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,9
Zurich Assurance Ltd,ZURICH INSURANCE GROUP AG,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,2219
Zurich Insurance Company Ltd,ZURICH INSURANCE GROUP AG,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,2785
Accredited Insurance (Europe) Ltd,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,4940
Acm Ulr Limited,MARKERSTUDY GROUP,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,709
Acorn Insurance & Financial Services Ltd,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,879
Acromas Insurance Company Limited,NO GROUP,2024-08-01 to 2025-01-31,H1 2025,Insurance & pure protection,2527
Action 365 Ltd,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,913
Adrian Flux Insurance Services Group,NO GROUP,2024-10-01 to 2025-03-31,H1 2025,Insurance & pure protection,1557
Advisory Insurance Brokers Limited,ARDONAGH GROUP LIMITED,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,697
Ageas Insurance Limited,AGEAS SA-NV,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,5189
Ageas Retail Limited,AGEAS SA-NV,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,932
Aioi Nissay Dowa Insurance UK Limited,AIOI NISSAY DOWA EUROPE LIMITED,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,1671
Allianz Insurance Plc,ALLIANZ SE,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,2787
AMERICAN EXPRESS SERVICES EUROPE LIMITED,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,162
AMERICAN INTERNATIONAL GROUP UK LIMITED,"AMERICAN INTERNATIONAL GROUP, INC. (AIG)",2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,921
AmTrust Specialty Limited,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,2229
Animal Friends Insurance Services Ltd,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,2620
ARAG Legal Expenses Insurance Company Limited,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,2220
