firm_name,firm_group,reporting_period,period,product_category,complaints_opened
Leeds Building Society,LEEDS BUILDING SOCIETY,2025-01-01 to 2025-06-30,H1 2025,Home finance,1076
Lenvi Servicing Limited,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Home finance,756
Link Financial Outsourcing Limited,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Home finance,11
Lloyds Bank General Insurance Limited,LLOYDS BANKING GROUP PLC,2025-01-01 to 2025-06-30,H1 2025,Home finance,0
Lloyds Bank PLC,LLOYDS BANKING GROUP PLC,2025-01-01 to 2025-06-30,H1 2025,Home finance,2845
London and Country Mortgages Ltd,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Home finance,585
Marks & Spencer Financial Services Plc,HSBC HOLDINGS PLC,2025-01-01 to 2025-06-30,H1 2025,Home finance,0
MBNA Limited,LLOYDS BANKING GROUP PLC,2025-01-01 to 2025-06-30,H1 2025,Home finance,0
Metro Bank PLC,METRO BANK PLC,2025-01-01 to 2025-06-30,H1 2025,Home finance,201
NATIONAL WESTMINSTER BANK PUBLIC LIMITED COMPANY,NATWEST GROUP,2025-01-01 to 2025-06-30,H1 2025,Home finance,6580
Nationwide Building Society,NATIONWIDE BUILDING SOCIETY,2024-10-05 to 2025-03-31,H1 2025,Home finance,4514
Newcastle Building Society,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Home finance,204
Northern Bank Limited,DANSKE BANK A/S,2025-01-01 to 2025-06-30,H1 2025,Home finance,79
OneSavings Bank Plc,ONESAVINGS BANK PLC,2025-01-01 to 2025-06-30,H1 2025,Home finance,959
Paragon Bank Plc,PARAGON BANKING GROUP PLC,2024-10-01 to 2025-03-31,H1 2025,Home finance,238
Pepper (UK) Limited,PEPPER FINANCIAL SERVICES GROUP,2025-01-01 to 2025-06-30,H1 2025,Home finance,680
Phoenix Life Limited,PHOENIX GROUP,2025-01-01 to 2025-06-30,H1 2025,Home finance,6
Principality Building Society,PRINCIPALITY BUILDING SOCIETY,2025-01-01 to 2025-06-30,H1 2025,Home finance,383
QUILTER FINANCIAL SERVICES LIMITED,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Home finance,1
ReAssure Limited,PHOENIX GROUP,2025-01-01 to 2025-06-30,H1 2025,Home finance,1
Santander UK Plc,SANTANDER UK GROUP,2025-01-01 to 2025-06-30,H1 2025,Home finance,5040
SCOTTISH WIDOWS LIMITED,LLOYDS BANKING GROUP PLC,2025-01-01 to 2025-06-30,H1 2025,Home finance,0
Scottish Widows Unit Trust Managers Limited,LLOYDS BANKING GROUP PLC,2025-01-01 to 2025-06-30,H1 2025,Home finance,0
SECURE TRUST BANK PUBLIC LIMITED COMPANY,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Home finance,3
Shawbrook Bank Limited,SHAWBROOK GROUP PLC,2025-01-01 to 2025-06-30,H1 2025,Home finance,479
Skipton Building Society,SKIPTON BUILDING SOCIETY,2025-01-01 to 2025-06-30,H1 2025,Home finance,593
St. James's Place Wealth Management Plc,ST. JAMES'S PLACE PLC,2025-01-01 to 2025-06-30,H1 2025,Home finance,16
Swift 1st Limited,NO GROUP,2024-10-01 to 2025-03-31,H1 2025,Home finance,867
The Co-operative Bank Plc,CO-OPERATIVE BANK HOLDINGS (THE),2025-01-01 to 2025-06-30,H1 2025,Home finance,1507
The Mortgage Works (UK) Plc,NATIONWIDE BUILDING SOCIETY,2024-10-01 to 2025-03-31,H1 2025,Home finance,1463
The Prudential Assurance Company Limited,M&G PLC,2025-01-01 to 2025-06-30,H1 2025,Home finance,38
The Royal Bank of Scotland Plc,NATWEST GROUP,2025-01-01 to 2025-06-30,H1 2025,Home finance,1287
Topaz Finance Limited,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Home finance,2301
TSB Bank plc,BANCO DE SABADELL SA,2025-01-01 to 2025-06-30,H1 2025,Home finance,1614
UK Mortgage Lending Ltd,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Home finance,705
Yorkshire Building Society,YORKSHIRE BUILDING SOCIETY,2025-01-01 to 2025-06-30,H1 2025,Home finance,578
Zurich Assurance Ltd,ZURICH INSURANCE GROUP AG,2025-01-01 to 2025-06-30,H1 2025,Home finance,0
Accord Mortgages Limited,YORKSHIRE BUILDING SOCIETY,2025-07-01 to 2025-12-31,H2 2025,Home finance,936
Admiral Financial Services Limited,ADMIRAL GROUP PLC,2025-07-01 to 2025-12-31,H2 2025,Home finance,16
Aldermore Bank Plc,FIRSTRAND LIMITED,2025-07-01 to 2025-12-31,H2 2025,Home finance,691
Ascent Performance Group Limited,not on previous list,2025-05-01 to 2025-10-31,H2 2025,Home finance,446
Aviva Life Services UK Limited,AVIVA PLC,2025-07-01 to 2025-12-31,H2 2025,Home finance,730
Bank of Ireland (UK) Plc,BANK OF IRELAND GROUP,2025-07-01 to 2025-12-31,H2 2025,Home finance,881
Bank of Scotland plc,LLOYDS BANKING GROUP PLC,2025-07-01 to 2025-12-31,H2 2025,Home finance,12223
Barclays Bank Plc,BARCLAYS GROUP,2025-07-01 to 2025-12-31,H2 2025,Home finance,1
Barclays Bank UK PLC,BARCLAYS GROUP,2025-07-01 to 2025-12-31,H2 2025,Home finance,5356
Cabot Credit Management Group Limited,ENCORE CAPITAL GROUP,2025-07-01 to 2025-12-31,H2 2025,Home finance,35
Charter Court Financial Services Limited,CHARTER COURT FINANCIAL SERVICES GROUP PLC,2025-07-01 to 2025-12-31,H2 2025,Home finance,1081
Clydesdale Bank Plc,NATIONWIDE BUILDING SOCIETY,2025-04-01 to 2025-09-30,H2 2025,Home finance,2174
Cofunds Limited,AEGON N.V.,2025-07-01 to 2025-12-31,H2 2025,Home finance,0
Connells Limited,SKIPTON BUILDING SOCIETY,2025-07-01 to 2025-12-31,H2 2025,Home finance,478
Coutts & Company,NATWEST GROUP,2025-07-01 to 2025-12-31,H2 2025,Home finance,107
Coventry Building Society,COVENTRY BUILDING SOCIETY,2025-07-01 to 2025-12-31,H2 2025,Home finance,740
Cynergy Bank Plc,CYNERGY CAPITAL LTD,2025-07-01 to 2025-12-31,H2 2025,Home finance,6
EBS Pensions Limited,LLOYDS BANKING GROUP PLC,2025-07-01 to 2025-12-31,H2 2025,Home finance,0
Elderbridge Limited,TECH MAHINDRA LIMITED,2025-04-01 to 2025-09-30,H2 2025,Home finance,758
Embark Investment Services Limited,LLOYDS BANKING GROUP PLC,2025-07-01 to 2025-12-31,H2 2025,Home finance,0
Embark Services Limited,LLOYDS BANKING GROUP PLC,2025-07-01 to 2025-12-31,H2 2025,Home finance,0
Experian Limited,EXPERIAN PLC,2025-04-01 to 2025-09-30,H2 2025,Home finance,0
FCE Bank Plc,FORD MOTOR CO,2025-07-01 to 2025-12-31,H2 2025,Home finance,0
Halifax Share Dealing Limited,LLOYDS BANKING GROUP PLC,2025-07-01 to 2025-12-31,H2 2025,Home finance,0
HBOS Investment Fund Managers Limited,LLOYDS BANKING GROUP PLC,2025-07-01 to 2025-12-31,H2 2025,Home finance,0
HSBC UK Bank Plc,HSBC GROUP,2025-07-01 to 2025-12-31,H2 2025,Home finance,5047
Kensington Mortgage Company Limited,NO GROUP,2025-07-01 to 2025-12-31,H2 2025,Home finance,1029
Leeds Building Society,LEEDS BUILDING SOCIETY,2025-07-01 to 2025-12-31,H2 2025,Home finance,910
Link Financial Outsourcing Limited,LINK FINANCIAL GROUP,2025-07-01 to 2025-12-31,H2 2025,Home finance,10
Lloyds Bank General Insurance Limited,LLOYDS BANKING GROUP PLC,2025-07-01 to 2025-12-31,H2 2025,Home finance,0
Lloyds Bank PLC,LLOYDS BANKING GROUP PLC,2025-07-01 to 2025-12-31,H2 2025,Home finance,2575
LONDON & COUNTRY MORTGAGES LIMITED,NO GROUP,2025-07-01 to 2025-12-31,H2 2025,Home finance,597
MARKS AND SPENCER FINANCIAL SERVICES PLC,HSBC GROUP,2025-07-01 to 2025-12-31,H2 2025,Home finance,0
MBNA Limited,LLOYDS BANKING GROUP PLC,2025-07-01 to 2025-12-31,H2 2025,Home finance,0
Metro Bank PLC,NO GROUP,2025-07-01 to 2025-12-31,H2 2025,Home finance,133
NATIONAL WESTMINSTER BANK PUBLIC LIMITED COMPANY,NATWEST GROUP,2025-07-01 to 2025-12-31,H2 2025,Home finance,6123
Nationwide Building Society,NATIONWIDE BUILDING SOCIETY,2025-04-01 to 2025-09-30,H2 2025,Home finance,5263
Newcastle Building Society,NO GROUP,2025-07-01 to 2025-12-31,H2 2025,Home finance,222
Northern Bank Limited,DANSKE BANK A/S,2025-07-01 to 2025-12-31,H2 2025,Home finance,85
OneSavings Bank Plc,OSB GROUP,2025-07-01 to 2025-12-31,H2 2025,Home finance,961
Paragon Bank Plc,PARAGON BANKING GROUP PLC,2025-04-01 to 2025-09-30,H2 2025,Home finance,230
Pepper (UK) Limited,PEPPER GROUP,2025-07-01 to 2025-12-31,H2 2025,Home finance,723
Phoenix Life Limited,PHOENIX GROUP,2025-07-01 to 2025-12-31,H2 2025,Home finance,7
Principality Building Society,NO GROUP,2025-07-01 to 2025-12-31,H2 2025,Home finance,384
QUILTER FINANCIAL SERVICES LIMITED,QUILTER GROUP,2025-07-01 to 2025-12-31,H2 2025,Home finance,12
ReAssure Limited,PHOENIX GROUP,2025-07-01 to 2025-12-31,H2 2025,Home finance,0
Santander UK Plc,SANTANDER UK GROUP,2025-07-01 to 2025-12-31,H2 2025,Home finance,4106
Scottish Equitable Plc,AEGON N.V.,2025-07-01 to 2025-12-31,H2 2025,Home finance,0
SCOTTISH WIDOWS LIMITED,LLOYDS BANKING GROUP PLC,2025-07-01 to 2025-12-31,H2 2025,Home finance,0
Shawbrook Bank Limited,SHAWBROOK GROUP PLC,2025-07-01 to 2025-12-31,H2 2025,Home finance,398
Skipton Building Society,SKIPTON BUILDING SOCIETY,2025-07-01 to 2025-12-31,H2 2025,Home finance,704
St. James's Place Wealth Management Plc,ST. JAMES'S PLACE PLC,2025-07-01 to 2025-12-31,H2 2025,Home finance,13
Swift 1st Limited,SWIFT GROUP,2025-04-01 to 2025-09-30,H2 2025,Home finance,636
THE CO-OPERATIVE BANK P.L.C.,COVENTRY BUILDING SOCIETY,2025-07-01 to 2025-12-31,H2 2025,Home finance,1067
The Mortgage Works (UK) Plc,NATIONWIDE BUILDING SOCIETY,2025-04-01 to 2025-09-30,H2 2025,Home finance,1481
The Prudential Assurance Company Limited,M&G PLC,2025-07-01 to 2025-12-31,H2 2025,Home finance,34
The Royal Bank of Scotland Plc,NATWEST GROUP,2025-07-01 to 2025-12-31,H2 2025,Home finance,1206
Topaz Finance Limited,COMPUTERSHARE LIMITED,2025-07-01 to 2025-12-31,H2 2025,Home finance,3173
True Potential Wealth Management LLP,NO GROUP,2025-07-01 to 2025-12-31,H2 2025,Home finance,1
TSB Bank plc,BANCO DE SABADELL SA,2025-07-01 to 2025-12-31,H2 2025,Home finance,1523
UBS AG,UBS GROUP,2025-07-01 to 2025-12-31,H2 2025,Home finance,14
UK Mortgage Lending Ltd,PEPPER GROUP,2025-07-01 to 2025-12-31,H2 2025,Home finance,682
Yorkshire Building Society,NO GROUP,2025-07-01 to 2025-12-31,H2 2025,Home finance,532
Zurich Assurance Ltd,ZURICH INSURANCE GROUP LIMITED,2025-07-01 to 2025-12-31,H2 2025,Home finance,3
Accredited Insurance (Europe) Ltd,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,4219
Acm Ulr Limited,MARKERSTUDY GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,865
Acorn Insurance & Financial Services Ltd,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,823
Action 365 Ltd,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,966
Adrian Flux Insurance Services Group,NO GROUP,2024-04-01 to 2024-09-30,H2 2024,Insurance & pure protection,1665
Advisory Insurance Brokers Limited,ARDONAGH GROUP LIMITED,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,816
Affinity Insurance Solutions Limited,MARKERSTUDY GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,806
Ageas Insurance Limited,AGEAS SA-NV,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,5058
Ageas Retail Limited,AGEAS SA-NV,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,993
Aioi Nissay Dowa Insurance UK Limited,AIOI NISSAY DOWA EUROPE LIMITED,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,2193
Allianz Insurance Plc,ALLIANZ SE,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,2947
AMERICAN EXPRESS SERVICES EUROPE LIMITED,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,70
AMERICAN INTERNATIONAL GROUP UK LIMITED,"AMERICAN INTERNATIONAL GROUP, INC. (AIG)",2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,1109
AmTrust Specialty Limited,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,2314
Animal Friends Insurance Services Ltd,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,3228
ARAG Legal Expenses Insurance Company Limited,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,1930
Arthur J. Gallagher Insurance Brokers Limited,ARTHUR J GALLAGHER (UK) LTD,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,1047
Assurant General Insurance Limited,ASSURANT INC,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,6996
Astrenska Insurance Limited,NO GROUP,2024-05-01 to 2024-10-31,H2 2024,Insurance & pure protection,1854
Asurion Europe Limited,ASURION,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,1431
Atlanta Insurance Intermediaries Limited,MARKERSTUDY GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,9798
Automobile Association Insurance Services Limited,AUTOMOBILE ASSOCIATION (AA),2024-02-01 to 2024-07-31,H2 2024,Insurance & pure protection,8063
Avantia Insurance Limited,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,1437
Aviva Health UK Limited,AVIVA PLC,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,1337
Aviva Insurance Limited,AVIVA PLC,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,49190
Aviva Life Services UK Limited,AVIVA PLC,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,3866
Aviva Protection UK Limited,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,742
AWP Assistance UK Ltd,ALLIANZ SE,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,2716
AWP P&C S.A.,ALLIANZ SE,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,2225
AXA Insurance Designated Activity Company,AXA GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,2047
AXA Insurance UK Plc,AXA GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,20381
AXA PPP Healthcare Limited,AXA GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,24510
Bank of Ireland (UK) Plc,BANK OF IRELAND GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,41
Bank of Scotland plc,LLOYDS BANKING GROUP PLC,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,241
Barclays Bank Plc,BARCLAYS PLC,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,1
Barclays Bank UK PLC,BARCLAYS PLC,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,181
BISL Limited,MARKERSTUDY GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,13571
British Gas Services Limited,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,57808
BUPA Insurance Services Limited,BUPA GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,31626
Business Insurance Solutions Limited,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,479
Call Assist Ltd,CALL ASSIST LIMITED,2024-05-01 to 2024-10-31,H2 2024,Insurance & pure protection,644
Capital Home Loans Limited,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,0
Capital One (Europe) plc,CAPITAL ONE FINANCIAL CORPORATION,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,5
Car Care Plan Limited,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,1043
Carfinance247 Limited,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,158
Carole Nash Insurance Consultants Ltd,MARKERSTUDY GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,3087
Castelan Limited,NO GROUP,2024-04-01 to 2024-09-30,H2 2024,Insurance & pure protection,541
Chubb European Group SE,CHUBB LIMITED,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,4200
Close Brothers Limited,CLOSE BROTHERS GROUP PLC,2024-02-01 to 2024-07-31,H2 2024,Insurance & pure protection,5
Clydesdale Bank Plc,VIRGIN MONEY UK PLC,2024-04-01 to 2024-09-30,H2 2024,Insurance & pure protection,7
Complete Cover Group Ltd,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,963
Connells Limited,SKIPTON BUILDING SOCIETY,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,119
CORGI HomePlan Ltd,OVO GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,1809
Countrywide Assured Plc,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,184
Coutts & Company,NATWEST GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,14
Covea Insurance plc,COVEA GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,2490
Coventry Building Society,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,1
Creation Financial Services Limited,BNP PARIBAS GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,1
Domestic & General Insurance Plc,CVC CAPITAL PARTNERS ADVISORY GROUP HOLDING FOUNDATION,2024-04-01 to 2024-09-30,H2 2024,Insurance & pure protection,44570
Elderbridge Limited,TECH MAHINDRA LIMITED,2024-04-01 to 2024-09-30,H2 2024,Insurance & pure protection,2
Embark Investment Services Limited,LLOYDS BANKING GROUP PLC,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,0
ERGO TRAVEL INSURANCE SERVICES LTD,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,3011
esure Insurance Limited,ESURE GROUP PLC,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,16080
EUI Limited,ADMIRAL GROUP PLC,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,73418
Exeter Friendly Society Limited,EXETER FRIENDLY SOCIETY LIMITED,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,1162
Experian Limited,EXPERIAN PLC,2024-04-01 to 2024-09-30,H2 2024,Insurance & pure protection,2
Extracover Limited,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,519
Family Assurance Friendly Society Limited,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,429
First Central Insurance Management Limited,FIRST CENTRAL GROUP LIMITED,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,9224
FirstRand Bank Limited,FIRSTRAND LIMITED,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,42
Forester Life Limited,FORESTER HOLDINGS (EUROPE) LIMITED,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,33
Forsakringsaktiebolaget Agria (publ),NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,674
Fortegra Europe Insurance Company Ltd,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,3858
Hastings Insurance Services Limited,HASTINGS GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,15998
HBOS Investment Fund Managers Limited,LLOYDS BANKING GROUP PLC,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,0
HELVETIA GLOBAL SOLUTIONS LTD,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,1232
Highway Insurance Company Limited,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,505
Hiscox Insurance Company Limited,HISCOX LTD.,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,510
Homeserve Membership Limited,HOMESERVE PLC,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,2489
Hood Travel Limited,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,681
Howserv Limited,STAYSURE HOLDINGS LTD,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,2239
HSBC UK Bank Plc,HSBC HOLDINGS PLC,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,469
Hyundai Capital UK Limited,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,0
I Go 4 Ltd.,MARKERSTUDY GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,890
Insurance Factory Ltd,MARKERSTUDY GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,4565
Inter Partner Assistance SA,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,9669
J D Williams & Company Limited,J D WILLIAMS & COMPANY LIMITED,2024-03-01 to 2024-08-31,H2 2024,Insurance & pure protection,1
LeasePlan UK Limited,LP GROUP B.V.,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,20
Leeds Building Society,LEEDS BUILDING SOCIETY,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,5
Legal and General Assurance Society Limited,LEGAL & GENERAL GROUP PLC,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,2920
Liverpool Victoria Financial Services Limited,LIVERPOOL VICTORIA FINANCIAL SERVICES LIMITED,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,1321
Liverpool Victoria Insurance Company Limited,LIVERPOOL VICTORIA FINANCIAL SERVICES LIMITED,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,9279
Lloyds Bank General Insurance Limited,LLOYDS BANKING GROUP PLC,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,5611
Lloyds Bank PLC,LLOYDS BANKING GROUP PLC,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,362
London and Country Mortgages Ltd,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,38
ManyPets Ltd,NO GROUP,2024-04-01 to 2024-09-30,H2 2024,Insurance & pure protection,4914
Marks & Spencer Financial Services Plc,HSBC HOLDINGS PLC,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,112
Marshmallow Financial Services Ltd,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,4843
MBNA Limited,LLOYDS BANKING GROUP PLC,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,9
MetLife Europe d.a.c.,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,750
MotoNovo Finance Limited,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,24
MUNICH RE DIGITAL PARTNERS LIMITED,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,1289
National House-Building Council,NO GROUP,2024-04-01 to 2024-09-30,H2 2024,Insurance & pure protection,570
NATIONAL WESTMINSTER BANK PUBLIC LIMITED COMPANY,NATWEST GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,104
Nationwide Building Society,NATIONWIDE BUILDING SOCIETY,2024-04-05 to 2024-10-04,H2 2024,Insurance & pure protection,145
Newcastle Building Society,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,0
Northern Bank Limited,DANSKE BANK A/S,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,1
One Call Insurance Services Limited,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,3113
Paragon Bank Plc,PARAGON BANKING GROUP PLC,2024-04-01 to 2024-09-30,H2 2024,Insurance & pure protection,2
Phoenix Life CA Limited,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,322
Phoenix Life Limited,PHOENIX GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,3043
Pinnacle Insurance Limited,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,2410
Post Office Management Services Limited,NO GROUP,2024-04-01 to 2024-09-30,H2 2024,Insurance & pure protection,617
Principality Building Society,PRINCIPALITY BUILDING SOCIETY,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,5
QBE UK Limited,QBE INSURANCE GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,893
Qmetric Group Limited,NO GROUP,2024-04-01 to 2024-09-30,H2 2024,Insurance & pure protection,3112
QUILTER FINANCIAL SERVICES LIMITED,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,13
RAC Motoring Services,RAC GROUP (HOLDINGS) LIMITED,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,9193
ReAssure Life Limited,PHOENIX GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,356
ReAssure Limited,PHOENIX GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,557
Reassured Ltd,NO GROUP,2024-02-01 to 2024-07-31,H2 2024,Insurance & pure protection,579
Royal & Sun Alliance Insurance Limited,RSA INSURANCE UK,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,11992
Sabre Insurance Company Limited,SABRE INSURANCE GROUP PLC,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,675
Saga Services Limited,SAGA PLC,2024-02-01 to 2024-07-31,H2 2024,Insurance & pure protection,15359
Sainsbury's Bank Plc,J SAINSBURY PLC,2024-03-01 to 2024-08-31,H2 2024,Insurance & pure protection,786
Santander UK Plc,SANTANDER UK GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,116
Scottish Equitable Plc,AEGON N.V.,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,9
Scottish Friendly Assurance Society Limited,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,361
SCOTTISH WIDOWS LIMITED,LLOYDS BANKING GROUP PLC,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,1452
Scottish Widows Unit Trust Managers Limited,LLOYDS BANKING GROUP PLC,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,0
Shop Direct Finance Company Limited,THE VERY GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,367
Simplyhealth Access,SIMPLYHEALTH GROUP LIMITED,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,1988
Skipton Building Society,SKIPTON BUILDING SOCIETY,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,7
Society of Lloyd's,SOCIETY OF LLOYD'S,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,4865
Somerset Bridge Insurance Services Limited,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,784
St James's Place UK plc,ST. JAMES'S PLACE PLC,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,6
St. James's Place Wealth Management Plc,ST. JAMES'S PLACE PLC,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,140
