firm_name,firm_group,reporting_period,period,product_category,uphold_rate
Accord Mortgages Limited,YORKSHIRE BUILDING SOCIETY,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,88.0
AJ Bell Securities Limited,AJ BELL GROUP,2024-04-01 to 2024-09-30,H2 2024,Banking and credit cards,36.8
Aldermore Bank Plc,FIRSTRAND LIMITED,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,67.6
AMERICAN EXPRESS SERVICES EUROPE LIMITED,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,32.7
Bank of Ireland (UK) Plc,BANK OF IRELAND GROUP,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,45.8
Bank of Scotland plc,LLOYDS BANKING GROUP PLC,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,67.6
Barclays Bank Plc,BARCLAYS PLC,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,60.9
Barclays Bank UK PLC,BARCLAYS PLC,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,65.9
Capital One (Europe) plc,CAPITAL ONE FINANCIAL CORPORATION,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,31.2
Charter Court Financial Services Limited,CHARTER COURT FINANCIAL SERVICES GROUP PLC,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,42.9
Chetwood Financial Limited,NO GROUP,2024-04-01 to 2024-09-30,H2 2024,Banking and credit cards,20.4
Citibank UK Limited,CITI GROUP,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,11.4
ClearBank Limited,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,58.2
Close Brothers Limited,CLOSE BROTHERS GROUP PLC,2024-02-01 to 2024-07-31,H2 2024,Banking and credit cards,61.4
Clydesdale Bank Plc,VIRGIN MONEY UK PLC,2024-04-01 to 2024-09-30,H2 2024,Banking and credit cards,72.5
Coutts & Company,NATWEST GROUP,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,47.1
Coventry Building Society,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,63.9
Creation Consumer Finance Ltd,BNP PARIBAS GROUP,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,33.4
Creation Financial Services Limited,BNP PARIBAS GROUP,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,40.3
Cynergy Bank Plc,CYNERGY CAPITAL LTD,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,80.5
Family Equity Plan Limited,FAMILY ASSURANCE FRIENDLY SOCIETY LTD,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,40.6
FCE Bank Plc,FORD MOTOR CO,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,55.3
Home Retail Group Card Services Limited,J SAINSBURY PLC,2024-03-01 to 2024-08-31,H2 2024,Banking and credit cards,26.2
HSBC UK Bank Plc,HSBC HOLDINGS PLC,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,59.9
Ikano Bank AB (publ),NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,34.6
J.P. Morgan Europe Limited,JPMORGAN CHASE & CO,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,40.3
Kroo Bank Ltd,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,37.8
Leeds Building Society,LEEDS BUILDING SOCIETY,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,61.2
Lloyds Bank PLC,LLOYDS BANKING GROUP PLC,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,66.8
Marks & Spencer Financial Services Plc,HSBC HOLDINGS PLC,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,64.7
MBNA Limited,LLOYDS BANKING GROUP PLC,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,53.5
Metro Bank PLC,METRO BANK PLC,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,43.2
Monzo Bank Ltd,MONZO BANK LIMITED,2024-04-01 to 2024-09-30,H2 2024,Banking and credit cards,32.3
Moorcroft Debt Recovery Limited,NO GROUP,2024-02-01 to 2024-07-31,H2 2024,Banking and credit cards,46.1
NATIONAL WESTMINSTER BANK PUBLIC LIMITED COMPANY,NATWEST GROUP,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,63.2
Nationwide Building Society,NATIONWIDE BUILDING SOCIETY,2024-04-05 to 2024-10-04,H2 2024,Banking and credit cards,53.3
Newcastle Building Society,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,65.5
Northern Bank Limited,DANSKE BANK A/S,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,37.9
OneSavings Bank Plc,ONESAVINGS BANK PLC,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,49.5
Paragon Bank Plc,PARAGON BANKING GROUP PLC,2024-04-01 to 2024-09-30,H2 2024,Banking and credit cards,68.3
Principality Building Society,PRINCIPALITY BUILDING SOCIETY,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,61.4
Sainsbury's Bank Plc,J SAINSBURY PLC,2024-03-01 to 2024-08-31,H2 2024,Banking and credit cards,53.2
Santander UK Plc,SANTANDER UK GROUP,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,48.1
Secure Trust Bank Plc,SECURE TRUST BANK PLC,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,33.2
Shawbrook Bank Limited,SHAWBROOK GROUP PLC,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,67.2
Skipton Building Society,SKIPTON BUILDING SOCIETY,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,82.9
St. James's Place Wealth Management Plc,ST. JAMES'S PLACE PLC,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,0.0
Starling Bank Limited,NO GROUP,2024-04-01 to 2024-09-30,H2 2024,Banking and credit cards,43.0
Tandem Bank Limited,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,59.6
Tesco Personal Finance Limited,NO GROUP,2024-03-01 to 2024-08-31,H2 2024,Banking and credit cards,43.5
The Co-operative Bank Plc,CO-OPERATIVE BANK HOLDINGS (THE),2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,67.4
The Royal Bank of Scotland Plc,NATWEST GROUP,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,64.9
Trading 212 UK Limited,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,12.0
Triodos Bank UK Limited,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,42.7
TSB Bank plc,BANCO DE SABADELL SA,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,65.9
U.S. Bank Europe DAC,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,19.2
Vanquis Bank Limited,PROVIDENT FINANCIAL PLC,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,19.9
Yorkshire Building Society,YORKSHIRE BUILDING SOCIETY,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,75.5
Zempler Bank Limited,NO GROUP,2024-04-01 to 2024-09-30,H2 2024,Banking and credit cards,46.9
Zopa Bank Limited,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,45.4
Accord Mortgages Limited,YORKSHIRE BUILDING SOCIETY,2025-01-01 to 2025-06-30,H1 2025,Banking and credit cards,91.7
AJ Bell Securities Limited,AJ BELL GROUP,2024-10-01 to 2025-03-31,H1 2025,Banking and credit cards,72.0
Aldermore Bank Plc,FIRSTRAND LIMITED,2025-01-01 to 2025-06-30,H1 2025,Banking and credit cards,72.0
AMERICAN EXPRESS SERVICES EUROPE LIMITED,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Banking and credit cards,34.4
Bank of Ireland (UK) Plc,BANK OF IRELAND GROUP,2025-01-01 to 2025-06-30,H1 2025,Banking and credit cards,46.2
Bank of Scotland plc,LLOYDS BANKING GROUP PLC,2025-01-01 to 2025-06-30,H1 2025,Banking and credit cards,68.9
Barclays Bank Plc,BARCLAYS PLC,2025-01-01 to 2025-06-30,H1 2025,Banking and credit cards,62.5
Barclays Bank UK PLC,BARCLAYS PLC,2025-01-01 to 2025-06-30,H1 2025,Banking and credit cards,78.0
Capital One (Europe) plc,CAPITAL ONE FINANCIAL CORPORATION,2025-01-01 to 2025-06-30,H1 2025,Banking and credit cards,33.5
Charter Court Financial Services Limited,CHARTER COURT FINANCIAL SERVICES GROUP PLC,2025-01-01 to 2025-06-30,H1 2025,Banking and credit cards,48.2
ClearBank Limited,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Banking and credit cards,69.9
Close Brothers Limited,CLOSE BROTHERS GROUP PLC,2024-08-01 to 2025-01-31,H1 2025,Banking and credit cards,60.5
Clydesdale Bank Plc,VIRGIN MONEY UK PLC,2024-10-01 to 2025-03-31,H1 2025,Banking and credit cards,66.2
Coutts & Company,NATWEST GROUP,2025-01-01 to 2025-06-30,H1 2025,Banking and credit cards,43.0
Coventry Building Society,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Banking and credit cards,62.6
Creation Consumer Finance Ltd,BNP PARIBAS GROUP,2025-01-01 to 2025-06-30,H1 2025,Banking and credit cards,39.9
Creation Financial Services Limited,BNP PARIBAS GROUP,2025-01-01 to 2025-06-30,H1 2025,Banking and credit cards,36.4
Cynergy Bank Plc,CYNERGY CAPITAL LTD,2025-01-01 to 2025-06-30,H1 2025,Banking and credit cards,79.8
Digital Moneybox Limited,NO GROUP,2024-12-01 to 2025-05-31,H1 2025,Banking and credit cards,38.9
Family Equity Plan Limited,FAMILY ASSURANCE FRIENDLY SOCIETY LTD,2025-01-01 to 2025-06-30,H1 2025,Banking and credit cards,51.7
Home Retail Group Card Services Limited,J SAINSBURY PLC,2024-09-01 to 2025-02-28,H1 2025,Banking and credit cards,30.1
HSBC Bank Plc,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Banking and credit cards,52.2
HSBC UK Bank Plc,HSBC HOLDINGS PLC,2025-01-01 to 2025-06-30,H1 2025,Banking and credit cards,59.7
Ikano Bank AB (publ),NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Banking and credit cards,39.4
J.P. Morgan Europe Limited,JPMORGAN CHASE & CO,2025-01-01 to 2025-06-30,H1 2025,Banking and credit cards,46.6
Kroo Bank Ltd,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Banking and credit cards,29.7
Leeds Building Society,LEEDS BUILDING SOCIETY,2025-01-01 to 2025-06-30,H1 2025,Banking and credit cards,63.1
Link Financial Outsourcing Limited,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Banking and credit cards,25.0
Lloyds Bank PLC,LLOYDS BANKING GROUP PLC,2025-01-01 to 2025-06-30,H1 2025,Banking and credit cards,67.3
Marks & Spencer Financial Services Plc,HSBC HOLDINGS PLC,2025-01-01 to 2025-06-30,H1 2025,Banking and credit cards,67.4
MBNA Limited,LLOYDS BANKING GROUP PLC,2025-01-01 to 2025-06-30,H1 2025,Banking and credit cards,53.1
Metro Bank PLC,METRO BANK PLC,2025-01-01 to 2025-06-30,H1 2025,Banking and credit cards,45.0
Monzo Bank Ltd,MONZO BANK LIMITED,2024-10-01 to 2025-03-31,H1 2025,Banking and credit cards,30.1
Moorcroft Debt Recovery Limited,NO GROUP,2024-08-01 to 2025-01-31,H1 2025,Banking and credit cards,38.5
NATIONAL WESTMINSTER BANK PUBLIC LIMITED COMPANY,NATWEST GROUP,2025-01-01 to 2025-06-30,H1 2025,Banking and credit cards,60.6
Nationwide Building Society,NATIONWIDE BUILDING SOCIETY,2024-10-05 to 2025-03-31,H1 2025,Banking and credit cards,51.2
Newcastle Building Society,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Banking and credit cards,70.2
Northern Bank Limited,DANSKE BANK A/S,2025-01-01 to 2025-06-30,H1 2025,Banking and credit cards,35.9
OneSavings Bank Plc,ONESAVINGS BANK PLC,2025-01-01 to 2025-06-30,H1 2025,Banking and credit cards,53.5
Paragon Bank Plc,PARAGON BANKING GROUP PLC,2024-10-01 to 2025-03-31,H1 2025,Banking and credit cards,54.2
Principality Building Society,PRINCIPALITY BUILDING SOCIETY,2025-01-01 to 2025-06-30,H1 2025,Banking and credit cards,59.9
Sainsbury's Bank Plc,J SAINSBURY PLC,2024-09-01 to 2025-02-28,H1 2025,Banking and credit cards,48.7
Santander UK Plc,SANTANDER UK GROUP,2025-01-01 to 2025-06-30,H1 2025,Banking and credit cards,47.3
SECURE TRUST BANK PUBLIC LIMITED COMPANY,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Banking and credit cards,41.2
Shawbrook Bank Limited,SHAWBROOK GROUP PLC,2025-01-01 to 2025-06-30,H1 2025,Banking and credit cards,60.2
Skipton Building Society,SKIPTON BUILDING SOCIETY,2025-01-01 to 2025-06-30,H1 2025,Banking and credit cards,81.0
St. James's Place Wealth Management Plc,ST. JAMES'S PLACE PLC,2025-01-01 to 2025-06-30,H1 2025,Banking and credit cards,0.0
Starling Bank Limited,NO GROUP,2024-10-01 to 2025-03-31,H1 2025,Banking and credit cards,36.8
The Co-operative Bank Plc,CO-OPERATIVE BANK HOLDINGS (THE),2025-01-01 to 2025-06-30,H1 2025,Banking and credit cards,67.6
The Royal Bank of Scotland Plc,NATWEST GROUP,2025-01-01 to 2025-06-30,H1 2025,Banking and credit cards,62.0
Trading 212 UK Limited,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Banking and credit cards,21.3
TSB Bank plc,BANCO DE SABADELL SA,2025-01-01 to 2025-06-30,H1 2025,Banking and credit cards,55.7
U.S. Bank Europe DAC,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Banking and credit cards,20.2
Vanquis Bank Limited,PROVIDENT FINANCIAL PLC,2025-01-01 to 2025-06-30,H1 2025,Banking and credit cards,16.5
Yorkshire Building Society,YORKSHIRE BUILDING SOCIETY,2025-01-01 to 2025-06-30,H1 2025,Banking and credit cards,78.7
Zempler Bank Limited,NO GROUP,2024-10-01 to 2025-03-31,H1 2025,Banking and credit cards,44.0
Zopa Bank Limited,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Banking and credit cards,40.0
Accord Mortgages Limited,YORKSHIRE BUILDING SOCIETY,2025-07-01 to 2025-12-31,H2 2025,Banking and credit cards,83.3
AJ Bell Securities Limited,AJ BELL GROUP,2025-04-01 to 2025-09-30,H2 2025,Banking and credit cards,68.2
Aldermore Bank Plc,FIRSTRAND LIMITED,2025-07-01 to 2025-12-31,H2 2025,Banking and credit cards,70.8
AMERICAN EXPRESS SERVICES EUROPE LIMITED,AMERICAN EXPRESS,2025-07-01 to 2025-12-31,H2 2025,Banking and credit cards,33.3
Ascent Performance Group Limited,not on previous list,2025-05-01 to 2025-10-31,H2 2025,Banking and credit cards,27.8
Bank of Ireland (UK) Plc,BANK OF IRELAND GROUP,2025-07-01 to 2025-12-31,H2 2025,Banking and credit cards,44.5
Bank of Scotland plc,LLOYDS BANKING GROUP PLC,2025-07-01 to 2025-12-31,H2 2025,Banking and credit cards,70.2
Barclays Bank Plc,BARCLAYS GROUP,2025-07-01 to 2025-12-31,H2 2025,Banking and credit cards,60.2
Barclays Bank UK PLC,BARCLAYS GROUP,2025-07-01 to 2025-12-31,H2 2025,Banking and credit cards,59.8
CAF BANK LIMITED,CHARITIES AID FOUNDATION,2025-05-01 to 2025-10-31,H2 2025,Banking and credit cards,90.2
Capital One (Europe) plc,CAPITAL ONE FINANCIAL CORPORATION,2025-07-01 to 2025-12-31,H2 2025,Banking and credit cards,34.3
Charter Court Financial Services Limited,CHARTER COURT FINANCIAL SERVICES GROUP PLC,2025-07-01 to 2025-12-31,H2 2025,Banking and credit cards,52.6
ClearBank Limited,CLEARBANK GROUP,2025-07-01 to 2025-12-31,H2 2025,Banking and credit cards,57.1
Close Brothers Limited,CLOSE BROTHERS GROUP PLC,2025-02-01 to 2025-07-31,H2 2025,Banking and credit cards,0.0
Clydesdale Bank Plc,NATIONWIDE BUILDING SOCIETY,2025-04-01 to 2025-09-30,H2 2025,Banking and credit cards,64.1
Coutts & Company,NATWEST GROUP,2025-07-01 to 2025-12-31,H2 2025,Banking and credit cards,44.0
Coventry Building Society,COVENTRY BUILDING SOCIETY,2025-07-01 to 2025-12-31,H2 2025,Banking and credit cards,59.5
CREATION CONSUMER FINANCE LIMITED,BNP PARIBAS GROUP,2025-07-01 to 2025-12-31,H2 2025,Banking and credit cards,41.1
Cynergy Bank Plc,CYNERGY CAPITAL LTD,2025-07-01 to 2025-12-31,H2 2025,Banking and credit cards,80.1
Family Equity Plan Limited,FAMILY ASSURANCE FRIENDLY SOCIETY LTD,2025-07-01 to 2025-12-31,H2 2025,Banking and credit cards,34.0
FCE Bank Plc,FORD MOTOR CO,2025-07-01 to 2025-12-31,H2 2025,Banking and credit cards,55.6
Home Retail Group Card Services Limited,J SAINSBURY PLC,2025-03-01 to 2025-08-31,H2 2025,Banking and credit cards,34.8
HSBC UK Bank Plc,HSBC GROUP,2025-07-01 to 2025-12-31,H2 2025,Banking and credit cards,58.1
Ikano Bank AB (publ),INGKA GROUP,2025-07-01 to 2025-12-31,H2 2025,Banking and credit cards,42.9
J.P. Morgan Europe Limited,JPMORGAN CHASE & CO,2025-07-01 to 2025-12-31,H2 2025,Banking and credit cards,47.5
Kroo Bank Ltd,NO GROUP,2025-07-01 to 2025-12-31,H2 2025,Banking and credit cards,29.3
Leeds Building Society,LEEDS BUILDING SOCIETY,2025-07-01 to 2025-12-31,H2 2025,Banking and credit cards,71.7
Lloyds Bank PLC,LLOYDS BANKING GROUP PLC,2025-07-01 to 2025-12-31,H2 2025,Banking and credit cards,68.8
MARKS AND SPENCER FINANCIAL SERVICES PLC,HSBC GROUP,2025-07-01 to 2025-12-31,H2 2025,Banking and credit cards,68.4
MBNA Limited,LLOYDS BANKING GROUP PLC,2025-07-01 to 2025-12-31,H2 2025,Banking and credit cards,54.0
Metro Bank PLC,NO GROUP,2025-07-01 to 2025-12-31,H2 2025,Banking and credit cards,50.8
Monzo Bank Ltd,MONZO GROUP,2025-04-01 to 2025-09-30,H2 2025,Banking and credit cards,29.9
NATIONAL WESTMINSTER BANK PUBLIC LIMITED COMPANY,NATWEST GROUP,2025-07-01 to 2025-12-31,H2 2025,Banking and credit cards,57.3
Nationwide Building Society,NATIONWIDE BUILDING SOCIETY,2025-04-01 to 2025-09-30,H2 2025,Banking and credit cards,52.4
Newcastle Building Society,NO GROUP,2025-07-01 to 2025-12-31,H2 2025,Banking and credit cards,61.6
Northern Bank Limited,DANSKE BANK A/S,2025-07-01 to 2025-12-31,H2 2025,Banking and credit cards,35.9
OneSavings Bank Plc,OSB GROUP,2025-07-01 to 2025-12-31,H2 2025,Banking and credit cards,68.0
Paragon Bank Plc,PARAGON BANKING GROUP PLC,2025-04-01 to 2025-09-30,H2 2025,Banking and credit cards,53.4
Principality Building Society,NO GROUP,2025-07-01 to 2025-12-31,H2 2025,Banking and credit cards,59.9
Sainsbury's Bank Plc,J SAINSBURY PLC,2025-03-01 to 2025-08-31,H2 2025,Banking and credit cards,50.6
Santander UK Plc,SANTANDER UK GROUP,2025-07-01 to 2025-12-31,H2 2025,Banking and credit cards,45.1
SECURE TRUST BANK PUBLIC LIMITED COMPANY,NO GROUP,2025-07-01 to 2025-12-31,H2 2025,Banking and credit cards,34.5
Shawbrook Bank Limited,SHAWBROOK GROUP PLC,2025-07-01 to 2025-12-31,H2 2025,Banking and credit cards,59.7
Skipton Building Society,SKIPTON BUILDING SOCIETY,2025-07-01 to 2025-12-31,H2 2025,Banking and credit cards,71.9
St. James's Place Wealth Management Plc,ST. JAMES'S PLACE PLC,2025-07-01 to 2025-12-31,H2 2025,Banking and credit cards,100.0
Starling Bank Limited,NO GROUP,2025-04-01 to 2025-09-30,H2 2025,Banking and credit cards,41.0
THE CO-OPERATIVE BANK P.L.C.,COVENTRY BUILDING SOCIETY,2025-07-01 to 2025-12-31,H2 2025,Banking and credit cards,65.7
The Royal Bank of Scotland Plc,NATWEST GROUP,2025-07-01 to 2025-12-31,H2 2025,Banking and credit cards,59.1
Trading 212 UK Limited,NO GROUP,2025-07-01 to 2025-12-31,H2 2025,Banking and credit cards,14.5
TSB Bank plc,BANCO DE SABADELL SA,2025-07-01 to 2025-12-31,H2 2025,Banking and credit cards,52.3
U.S. Bank Europe DAC,U.S. BANCORP,2025-07-01 to 2025-12-31,H2 2025,Banking and credit cards,15.2
UBS AG,UBS GROUP,2025-07-01 to 2025-12-31,H2 2025,Banking and credit cards,45.7
Vanquis Bank Limited,VANQUIS BANKING GROUP,2025-07-01 to 2025-12-31,H2 2025,Banking and credit cards,29.9
Yorkshire Building Society,NO GROUP,2025-07-01 to 2025-12-31,H2 2025,Banking and credit cards,73.8
Zempler Bank Limited,ACCESS BANK PLC,2025-04-01 to 2025-09-30,H2 2025,Banking and credit cards,43.0
Zopa Bank Limited,ZOPA GROUP LIMITED,2025-07-01 to 2025-12-31,H2 2025,Banking and credit cards,41.8
AJ Bell Management Limited,AJ BELL GROUP,2024-04-01 to 2024-09-30,H2 2024,Decumulation & pensions,50.9
AJ Bell Securities Limited,AJ BELL GROUP,2024-04-01 to 2024-09-30,H2 2024,Decumulation & pensions,59.2
Aviva Life Services UK Limited,AVIVA PLC,2024-07-01 to 2024-12-31,H2 2024,Decumulation & pensions,66.5
Bank of Scotland plc,LLOYDS BANKING GROUP PLC,2024-07-01 to 2024-12-31,H2 2024,Decumulation & pensions,41.7
Barclays Bank Plc,BARCLAYS PLC,2024-07-01 to 2024-12-31,H2 2024,Decumulation & pensions,53.3
Barclays Bank UK PLC,BARCLAYS PLC,2024-07-01 to 2024-12-31,H2 2024,Decumulation & pensions,52.0
Clydesdale Bank Plc,VIRGIN MONEY UK PLC,2024-04-01 to 2024-09-30,H2 2024,Decumulation & pensions,100.0
Cofunds Limited,AEGON N.V.,2024-07-01 to 2024-12-31,H2 2024,Decumulation & pensions,47.0
Countrywide Assured Plc,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Decumulation & pensions,62.1
Coutts & Company,NATWEST GROUP,2024-07-01 to 2024-12-31,H2 2024,Decumulation & pensions,60.0
Embark Investment Services Limited,LLOYDS BANKING GROUP PLC,2024-07-01 to 2024-12-31,H2 2024,Decumulation & pensions,74.4
Equiniti Financial Services Limited,EQUINITI GROUP PLC,2024-07-01 to 2024-12-31,H2 2024,Decumulation & pensions,60.0
Family Assurance Friendly Society Limited,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Decumulation & pensions,20.0
Financial Administration Services Limited,FIDELITY HOLDINGS LIMITED,2024-07-01 to 2024-12-31,H2 2024,Decumulation & pensions,61.8
Forester Life Limited,FORESTER HOLDINGS (EUROPE) LIMITED,2024-07-01 to 2024-12-31,H2 2024,Decumulation & pensions,46.7
Halifax Share Dealing Limited,LLOYDS BANKING GROUP PLC,2024-07-01 to 2024-12-31,H2 2024,Decumulation & pensions,73.3
Hargreaves Lansdown Asset Management Limited,HARGREAVES LANSDOWN PLC,2024-07-01 to 2024-12-31,H2 2024,Decumulation & pensions,78.7
HSBC UK Bank Plc,HSBC HOLDINGS PLC,2024-07-01 to 2024-12-31,H2 2024,Decumulation & pensions,50.0
Interactive Investor Services Limited,INTERACTIVE INVESTOR SERVICES LIMITED,2024-07-01 to 2024-12-31,H2 2024,Decumulation & pensions,62.1
James Hay Administration Company Ltd,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Decumulation & pensions,77.2
Legal & General (Portfolio Management Services) Ltd,LEGAL & GENERAL GROUP PLC,2024-07-01 to 2024-12-31,H2 2024,Decumulation & pensions,72.4
Legal and General Assurance Society Limited,LEGAL & GENERAL GROUP PLC,2024-07-01 to 2024-12-31,H2 2024,Decumulation & pensions,73.7
Liverpool Victoria Financial Services Limited,LIVERPOOL VICTORIA FINANCIAL SERVICES LIMITED,2024-07-01 to 2024-12-31,H2 2024,Decumulation & pensions,82.5
Lloyds Bank PLC,LLOYDS BANKING GROUP PLC,2024-07-01 to 2024-12-31,H2 2024,Decumulation & pensions,31.5
NATIONAL WESTMINSTER BANK PUBLIC LIMITED COMPANY,NATWEST GROUP,2024-07-01 to 2024-12-31,H2 2024,Decumulation & pensions,56.4
Nationwide Building Society,NATIONWIDE BUILDING SOCIETY,2024-04-05 to 2024-10-04,H2 2024,Decumulation & pensions,0.0
Newcastle Building Society,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Decumulation & pensions,0.0
Nutmeg Saving and Investment Limited,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Decumulation & pensions,77.2
People's Administration Services Limited,NO GROUP,2024-04-01 to 2024-09-30,H2 2024,Decumulation & pensions,36.7
Phoenix Life CA Limited,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Decumulation & pensions,54.2
Phoenix Life Limited,PHOENIX GROUP,2024-07-01 to 2024-12-31,H2 2024,Decumulation & pensions,71.0
QUILTER FINANCIAL SERVICES LIMITED,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Decumulation & pensions,29.7
Quilter Life & Pensions Limited,QUILTER GROUP,2024-07-01 to 2024-12-31,H2 2024,Decumulation & pensions,66.7
ReAssure Life Limited,PHOENIX GROUP,2024-07-01 to 2024-12-31,H2 2024,Decumulation & pensions,91.7
ReAssure Limited,PHOENIX GROUP,2024-07-01 to 2024-12-31,H2 2024,Decumulation & pensions,86.6
Rothesay Life Plc,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Decumulation & pensions,33.6
Santander UK Plc,SANTANDER UK GROUP,2024-07-01 to 2024-12-31,H2 2024,Decumulation & pensions,55.0
Scottish Equitable Plc,AEGON N.V.,2024-07-01 to 2024-12-31,H2 2024,Decumulation & pensions,63.0
Scottish Friendly Assurance Society Limited,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Decumulation & pensions,81.5
SCOTTISH WIDOWS LIMITED,LLOYDS BANKING GROUP PLC,2024-07-01 to 2024-12-31,H2 2024,Decumulation & pensions,87.7
Skipton Building Society,SKIPTON BUILDING SOCIETY,2024-07-01 to 2024-12-31,H2 2024,Decumulation & pensions,83.0
St James's Place UK plc,ST. JAMES'S PLACE PLC,2024-07-01 to 2024-12-31,H2 2024,Decumulation & pensions,76.7
St. James's Place Wealth Management Plc,ST. JAMES'S PLACE PLC,2024-07-01 to 2024-12-31,H2 2024,Decumulation & pensions,52.6
Suffolk Life Pensions Limited,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Decumulation & pensions,75.3
The Co-operative Bank Plc,CO-OPERATIVE BANK HOLDINGS (THE),2024-07-01 to 2024-12-31,H2 2024,Decumulation & pensions,50.0
The National Farmers' Union Mutual Insurance Society Limited,NFU MUTUAL INSURANCE SOCIETY LIMITED,2024-07-01 to 2024-12-31,H2 2024,Decumulation & pensions,53.1
The Prudential Assurance Company Limited,M&G PLC,2024-07-01 to 2024-12-31,H2 2024,Decumulation & pensions,84.6
The Royal Bank of Scotland Plc,NATWEST GROUP,2024-07-01 to 2024-12-31,H2 2024,Decumulation & pensions,57.1
The Royal London Mutual Insurance Society Limited,ROYAL LONDON GROUP,2024-07-01 to 2024-12-31,H2 2024,Decumulation & pensions,67.4
"Vanguard Asset Management, Ltd",NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Decumulation & pensions,76.8
Virgin Money Unit Trust Managers Ltd,NO GROUP,2024-04-01 to 2024-09-30,H2 2024,Decumulation & pensions,92.1
Wesleyan Assurance Society,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Decumulation & pensions,92.1
